,x,y
0,[3021],0
1,[3279],0
2,[3021],0
3,[3189],0
4,[3015],2
5,[13019],0
6,[13019],0
7,[13019],0
8,[13019],0
9,[3050],2
10,[3021],0
11,[3189],0
12,[3015],2
13,[13019],0
14,[13019],0
15,[13019],0
16,[13019],0
17,[3015],2
18,[15219],1
19,[13019],0
20,[15219],1
21,[13019],0
22,[15219],1
23,[3018],0
24,[3018],0
25,[3222],0
26,[3018],0
27,[13285],0
28,[13285],0
29,[3015],2
30,[3015],2
31,[3015],2
32,[3015],2
33,[3027],1
34,[3015],2
35,[13019],0
36,[3027],1
37,[13019],0
38,[3019],1
39,[3015],2
40,[3024],0
41,[3015],2
42,[3622],1
43,[3024],0
44,[3032],0
45,[3032],0
46,[3032],0
47,[9853],0
48,[3032],0
49,[3018],0
50,[3021],0
51,[3032],0
52,[3024],0
53,[3016],1
54,[3016],1
55,[3016],1
56,[3016],1
57,[3016],1
58,[3016],1
59,[3024],0
60,[3234],0
61,[3342],2
62,[3015],2
63,[3050],2
64,[3223],0
65,[3021],0
66,[3015],2
67,[3050],2
68,[13019],0
69,[3234],0
70,[3019],1
71,[3050],2
72,[3305],0
73,[15224],0
74,[3019],1
75,[3077],0
76,[3024],0
77,[15060],2
78,[15060],2
79,[15238],0
80,[15060],2
81,[3015],2
82,[3234],0
83,[9502],0
84,[3077],0
85,[3077],0
86,[15060],2
87,[3305],0
88,[3095],0
89,[3024],0
90,[3189],0
91,[3095],0
92,[3095],0
93,[3095],0
94,[3095],0
95,[3095],0
96,[3029],1
97,[3487],0
98,[3487],0
99,[3487],0
100,[7762],0
101,[3016],1
102,[3487],0
103,[3015],2
104,[3015],2
105,[7762],0
106,[3074],0
107,[3026],0
108,[3680],0
109,[9853],0
110,[9866],0
111,[9866],0
112,[7762],0
113,[13019],0
114,[9853],0
115,[3533],0
116,[3074],0
117,[3021],0
118,[13019],0
119,[9852],0
120,[3487],0
121,[11201],0
122,[13309],0
123,[13862],1
124,[9853],0
125,[15243],2
126,[3015],2
127,[3015],2
128,[3015],2
129,[3234],0
130,[13019],0
131,[9853],0
132,[3021],0
133,[3015],2
134,[3024],0
135,[9853],0
136,[9853],0
137,[9853],0
138,[3021],0
139,[3487],0
140,[3050],2
141,[3021],0
142,[3050],2
143,[13019],0
144,[13019],0
145,[3021],0
146,[3015],2
147,[3014],0
148,[3026],0
149,[13019],0
150,[3021],0
151,[13019],0
152,[3015],2
153,[9853],0
154,[15890],0
155,[3014],0
156,[3680],0
157,[13019],0
158,[3015],2
159,[13019],0
160,[13280],0
161,[13019],0
162,[3095],0
163,[3095],0
164,[15224],0
165,[3015],2
166,[3487],0
167,[3292],0
168,[3026],0
169,[3015],2
170,[13019],0
